College,Email,Domain
Abilene Christian University,info@admissions.acu.edu,acu
Academy Of Art University,admissions@academyart.edu,academyart
Acadia University,admissions@acadiau.ca,acadiau
Adams State University,admissions@adams.edu,adams
Adelphi University,admissions@adelphi.edu,adelphi
Adrian College,admissions@adrian.edu,adrian
Agnes Scott College,admission@agnesscott.edu,agnesscott
Alabama Agricultural And Mechanical University,admissions@aamu.edu,aamu
Alabama State University,admissions@alasu.edu,alasu
Alaska Bible College,info@akbible.edu,akbible
Alaska Pacific University,admissions@alaskapacific.edu,alaskapacific
Albany College Pharmacy And Health Sciences,admissions@acphs.edu,acphs
Albany State University,admissions@asurams.edu,asurams
Albertus Magnus College,admissions@albertus.edu,albertus
Albion College,admission@albion.edu,albion
Albright College,admission@alb.edu,alb
Alcorn State University,ksampson@alcorn.edu,alcorn
Alderson Broaddus University,admissions@ab.edu,ab
Alfred University,admissions@alfred.edu,alfred
Alice Lloyd College,admissions@alc.edu,alc
Allegheny College,admissions@allegheny.edu,allegheny
Allen College,admissions@allencollege.edu,allencollege
Allen University,admissions@allenuniversity.edu,allenuniversity
Alma College,admissions@alma.edu,alma
Alvernia University,admissions@alvernia.edu,alvernia
Alverno College,admissions@alverno.edu,alverno
American Baptist College,atrice@abcnash.edu,abcnash
American International College,admissions@aic.edu,aic
American Jewish University,admissions@aju.edu,aju
American University,admissions@american.edu,american
American University Beirut Aub,admissions@aub.edu.lb,aub
American University Bulgaria,admissions@aubg.edu,aubg
American University Paris,admissions@aup.edu,aup
American University Rome,admissions@aur.edu,aur
Amherst College,admission@amherst.edu,amherst
Anderson University,info@anderson.edu,anderson
Andrews University,enroll@andrews.edu,andrews
Angelo State University,admissions@angelo.edu,angelo
Anna Maria College,admission@annamaria.edu,annamaria
Antioch College,admission@antiochcollege.edu,antiochcollege
Appalachian Bible College,admissions@abc.edu,abc
Appalachian State University,admissions@appstate.edu,appstate
Aquinas College,admissions@aquinas.edu,aquinas
Aquinas College,admissions@aquinascollege.edu,aquinascollege
Arcadia University,admiss@arcadia.edu,arcadia
Arizona Christian University,admissions@arizonachristian.edu,arizonachristian
Arizona State University,admissions@asu.edu,asu
Arkansas Baptist College,admissions@arkansasbaptist.edu,arkansasbaptist
Arkansas State University,admissions@astate.edu,astate
Arkansas Tech University,tech.enroll@atu.edu,atu
Arlington Baptist University,kmarvin@arlingtonbaptistcollege.edu,arlingtonbaptistcollege
Art Academy Cincinnati,admissions@artacademy.edu,artacademy
Art Center College Of Design,admissions@artcenter.edu,artcenter
Asbury University,admissions@asbury.edu,asbury
Ashland University,enrollme@ashland.edu,ashland
Assumption College,admiss@assumption.edu,assumption
Athens State University,admissions@athens.edu,athens
Auburn University,admissions@auburn.edu,auburn
Auburn University At Montgomery,admissions@aum.edu,aum
Augsburg University,admissions@augsburg.edu,augsburg
Augusta University,admissions@augusta.edu,augusta
Augustana College Illinois,admissions@augustana.edu,augustana
Augustana University South Dakota,admission@augie.edu,augie
Aurora University,admission@aurora.edu,aurora
Austin College,admission@austincollege.edu,austincollege
Austin Graduate School Of Theology,admissions@austingrad.edu,austingrad
Austin Peay State University,admissions@apsu.edu,apsu
Ave Maria University,admissions@avemaria.edu,avemaria
Averett University,admit@averett.edu,averett
Avila University,admissions@avila.edu,avila
Azusa Pacific University,admissions@apu.edu,apu
Babson College,ugradadmission@babson.edu,babson
Baker University,admission@bakeru.edu,bakeru
Baldwin Wallace University,admission@bw.edu,bw
Ball State University,askus@bsu.edu,bsu
Baptist College Of Florida,admissions@baptistcollege.edu,baptistcollege
Baptist College Of Health Sciences,admissions@bchs.edu,bchs
Barclay College,admissions@barclaycollege.edu,barclaycollege
Bard College,admission@bard.edu,bard
Bard College Berlin,admissions@berlin.bard.edu,berlin.bard
Bard College Simons Rock Early College,admit@simons-rock.edu,simons-rock
Barnard College,admissions@barnard.edu,barnard
Barry University,admissions@barry.edu,barry
Barton College,enroll@barton.edu,barton
Bastyr University,admissions@bastyr.edu,bastyr
Bates College,admission@bates.edu,bates
Bay Path University,admiss@baypath.edu,baypath
Baylor University,admissions@baylor.edu,baylor
Beacon College,admissions@beaconcollege.edu,beaconcollege
Becker College,admissions@becker.edu,becker
Belhaven University,admission@belhaven.edu,belhaven
Bellarmine University,admission@bellarmine.edu,bellarmine
Bellarmine University,admissions@bellarmine.edu,bellarmine
Belmont Abbey College,admissions@bac.edu,bac
Belmont University,admissions@belmont.edu,belmont
Belmont University,buadmission@belmont.edu,belmont
Beloit College,admiss@beloit.edu,beloit
Bemidji State University,admissions@bemidjistate.edu,bemidjistate
Benedict College,admissions@benedict.edu,benedict
Benedictine College,bcaudle@benedictine.edu,benedictine
Benedictine College,bcadmiss@benedictine.edu,benedictine
Benedictine University Az,mesa@ben.edu,ben
Benedictine University Il,admissions@ben.edu,ben
Bennett College,admiss@bennett.edu,bennett
Bennington College,admissions@bennington.edu,bennington
Bentley University,ugadmission@bentley.edu,bentley
Berea College,admissions@berea.edu,berea
Berklee College Of Music,admissions@berklee.edu,berklee
Berry College,admissions@berry.edu,berry
Bethany College,enrollment@bethanywv.edu,bethanywv
Bethany College,admissions@bethanylb.edu,bethanylb
Bethany Lutheran College,admissions@blc.edu,blc
Bethel College,admissions@bethelcollege.edu,bethelcollege
Bethel College,admissions@bethelks.edu,bethelks
Bethel University,admissions@bethelu.edu,bethelu
Bethel University,buadmissions-cas@bethel.edu,bethel
Bethune Cookman University,admissions@cookman.edu,cookman
Beulah Heights University,admissions@beulah.edu,beulah
Biola University,admissions@biola.edu,biola
Birmingham Southern College,admiss@bsc.edu,bsc
Birmingham Southern College,admission@bsc.edu,bsc
Bishops University,admissions@ubishops.ca,ubishops
Black Hills State University,admissions@bhsu.edu,bhsu
Blackburn College,admit@blackburn.edu,blackburn
Blessing Rieman College Of Nursing,admissions@brcn.edu,brcn
Bloomfield College,admission@bloomfield.edu,bloomfield
Bloomsburg University Of Pennsylvania,buadmiss@bloomu.edu,bloomu
Blue Mountain College,admissions@bmc.edu,bmc
Bluefield College,admissions@bluefield.edu,bluefield
Bluefield State College,jschlimmer@bluefieldstate.edu,bluefieldstate
Bluffton University,admissions@bluffton.edu,bluffton
Bob Jones University,admission@bju.edu,bju
Boise State University,admissions@boisestate.edu,boisestate
Boston College,bcapplicant@bc.edu,bc
Boston College,studentservices@bc.edu,bc
Boston University,admissions@bu.edu,bu
Bowdoin College,admissions@bowdoin.edu,bowdoin
Bowie State University,ugradadmissions@bowiestate.edu,bowiestate
Bowling Green State University,choosebgsu@bgsu.edu,bgsu
Bradley University,admissions@bradley.edu,bradley
Brandeis University,admissions@brandeis.edu,brandeis
Brenau University,admissions@brenau.edu,brenau
Brescia University,admissions@brescia.edu,brescia
Brevard College,admissions@brevard.edu,brevard
Brewton Parker College,admissions@bpc.edu,bpc
Briar Cliff University,admissions@briarcliff.edu,briarcliff
Bridgewater College,admissions@bridgewater.edu,bridgewater
Bridgewater State University,admission@bridgew.edu,bridgew
Brigham Young University Hawaii,admissions@byuh.edu,byuh
Brigham Young University Idaho,admissions@byui.edu,byui
Brigham Young University Provo,admissions@byu.edu,byu
Bryan College,admiss@bryan.edu,bryan
Bryant University,admission@bryant.edu,bryant
Bryn Athyn College,admissions@brynathyn.edu,brynathyn
Bryn Mawr College,admissions@brynmawr.edu,brynmawr
Bucknell University,admissions@bucknell.edu,bucknell
Buena Vista University,admissions@bvu.edu,bvu
Butler University,admission@butler.edu,butler
Cabarrus College Of Health Sciences,admissions@cabarruscollege.edu,cabarruscollege
Cabrini University,admit@cabrini.edu,cabrini
Cairn University,admissions@cairn.edu,cairn
Caldwell University,admissions@caldwell.edu,caldwell
California Baptist University,admissions@calbaptist.edu,calbaptist
California College Arts,admissions@cca.edu,cca
California College Of The Arts,enroll@cca.edu,cca
California Institute Of The Arts,admissions@calarts.edu,calarts
California Institute Technology Caltech,ugadmissions@caltech.edu,caltech
California Lutheran University,admissions@callutheran.edu,callutheran
California Maritime Academy,admissions@csum.edu,csum
California State Polytechnic University Pomona,admissions@cpp.edu,cpp
California State University Bakersfield,admissions@csub.edu,csub
California State University Chico,info@csuchico.edu,csuchico
California State University Dominguez Hills,info@csudh.edu,csudh
California State University East Bay,admissions@csueastbay.edu,csueastbay
California State University Fresno,admissions@csufresno.edu,csufresno
California State University Fullerton,admissions@fullerton.edu,fullerton
California State University Long Beach,eslb@csulb.edu,csulb
California State University Los Angeles,admission@calstatela.edu,calstatela
California State University Monterey Bay,admissions@csumb.edu,csumb
California State University Northridge,admissions.records@csun.edu,csun
California State University Sacramento,admissions@csus.edu,csus
California State University San Bernardino,moreinfo@csusb.edu,csusb
California State University San Marcos,apply@csusm.edu,csusm
California State University Stanislaus,outreach_help_desk@csustan.edu,csustan
California University Of Pennsylvania,inquiry@calu.edu,calu
California University Of Pennsylvania,admissions@calu.edu,calu
Calumet College Of St Joseph,admissions@ccsj.edu,ccsj
Calvary University,admissions@calvary.edu,calvary
Calvin College,admissions@calvin.edu,calvin
Cambridge College,admissions@cambridgecollege.edu,cambridgecollege
Cameron University,admissions@cameron.edu,cameron
Campbellsville University,admissions@campbellsville.edu,campbellsville
Canisius College,admissions@canisius.edu,canisius
Capital University,admission@capital.edu,capital
Capitol Technology University,admissions@captechu.edu,captechu
Cardinal Stritch University,admissions@stritch.edu,stritch
Caribbean University,admisiones@caribbean.edu,caribbean
Carleton College,admissions@carleton.edu,carleton
Carlow University,admissions@carlow.edu,carlow
Carroll College,enroll@carroll.edu,carroll
Carroll College,admission@carroll.edu,carroll
Carroll University,info@carrollu.edu,carrollu
Carson Newman University,admitme@cn.edu,cn
Carthage College,admissions@carthage.edu,carthage
Case Western Reserve University,admission@case.edu,case
Castleton University,info@castleton.edu,castleton
Catawba College,admission@catawba.edu,catawba
Catawba College,admissions@catawba.edu,catawba
Catholic University America,cua-admissions@cua.edu,cua
Cazenovia College,admission@cazenovia.edu,cazenovia
Cedar Crest College,admissions@cedarcrest.edu,cedarcrest
Cedarville University,admiss@cedarville.edu,cedarville
Centenary College Louisiana,admission@centenary.edu,centenary
Centenary University,admissions@centenaryuniversity.edu,centenaryuniversity
Centenary University,centuadmissions@centenaryuniversity.edu,centenaryuniversity
Central Christian College Of Kansas,admissions@centralchristian.edu,centralchristian
Central College,admission@central.edu,central
Central Connecticut State University,admissions@ccsu.edu,ccsu
Central Methodist University,admissions@centralmethodist.edu,centralmethodist
Central Michigan University,cmuadmit@cmich.edu,cmich
Central Penn College,admissions@centralpenn.edu,centralpenn
Central State University,admissions@centralstate.edu,centralstate
Central Washington University,admissions@cwu.edu,cwu
Centre College,admission@centre.edu,centre
Chadron State College,cscadmissions@csc.edu,csc
Chaminade University Honolulu,admissions@chaminade.edu,chaminade
Champlain College,admission@champlain.edu,champlain
Chapman University,admit@chapman.edu,chapman
Charles R Drew University Medicine And Science,admissionsinfo@cdrewu.edu,cdrewu
Charleston Southern University,enroll@csuniv.edu,csuniv
Charter Oak State College,admissions@charteroak.edu,charteroak
Chatham University,admissions@chatham.edu,chatham
Chestnut Hill College,admissions@chc.edu,chc
Cheyney University Of Pennsylvania,admissions@cheyney.edu,cheyney
Chicago State University,ug-admissions@csu.edu,csu
Chipola College,hambrightb@chipola.edu,chipola
Chowan University,enroll@chowan.edu,chowan
Christendom College,admissions@christendom.edu,christendom
Christian Brothers University,admissions@cbu.edu,cbu
Christopher Newport University,admit@cnu.edu,cnu
Cincinnati Christian University,ccuadmissions@ccuniversity.edu,ccuniversity
Claflin University,admissions@claflin.edu,claflin
Claremont Mckenna College,admission@cmc.edu,cmc
Clarion University Of Pennsylvania,admissions@clarion.edu,clarion
Clark Atlanta University,admissions@cau.edu,cau
Clark University,admissions@clarku.edu,clarku
Clarke University,admissions@clarke.edu,clarke
Clarks Summit University,admissions@clarkssummitu.edu,clarkssummitu
Clarkson College,admissions@clarksoncollege.edu,clarksoncollege
Clarkson University,admission@clarkson.edu,clarkson
Clayton State University,ccsu-info@clayton.edu,clayton
Clear Creek Baptist Bible College,admissions@ccbbc.edu,ccbbc
Cleary University,admissions@cleary.edu,cleary
Clemson University,cuadmissions@clemson.edu,clemson
Cleveland Institute Of Music,admission@cim.edu,cim
Cleveland State University,admissions@csuohio.edu,csuohio
Coastal Carolina University,admissions@coastal.edu,coastal
Coe College,admission@coe.edu,coe
Cogswell Polytechnical College,info@cogswell.edu,cogswell
Coker College,admissions@coker.edu,coker
Colby College,admissions@colby.edu,colby
Colby Sawyer College,admissions@colby-sawyer.edu,colby-sawyer
Colgate University,admission@colgate.edu,colgate
College Of Charleston,admissions@cofc.edu,cofc
The College of Idaho,admission@collegeofidaho.edu,collegeofidaho
College of Mount Saint Vincent,admissions@mountsaintvincent.edu,mountsaintvincent
College Of Mount Saint Vincent,admissions.office@mountsaintvincent.edu,mountsaintvincent
College of New Jersey,tcnjinfo@tcnj.edu,tcnj
College of New Rochelle,admission@cnr.edu,cnr
College Of Saint Benedict,admissions@csbsju.edu,csbsju
College of Saint Elizabeth,apply@cse.edu,cse
College of Saint Rose,admit@strose.edu,strose
College Of St Mary,enroll@csm.edu,csm
College Of Staten Island Cuny,admissions@csi.cuny.edu,csi.cuny
College of the Atlantic Atlantic,inquiry@coa.edu,coa
College of the Holy Cross,admissions@holycross.edu,holycross
College Of The Ozarks,admissions@cofo.edu,cofo
College of William & Mary,admission@wm.edu,wm
College St Joseph,admissions@csj.edu,csj
College St Scholastica,admissions@css.edu,css
College Wooster,admissions@wooster.edu,wooster
Colorado Christian University,ccuadmissions@ccu.edu,ccu
