Domain,College Name,Are undocumented students considered international or domestic?,Are you need-blind for undocumented students?,Are there any restrictions on merit aid for undocumented students at your school?,Does your school provide merit aid specially for undocumented students?,Would you advise an undocumented student to reveal their status in their application or subsequent email?,How would their status affect their application?,Is there a special contact point for undocumented students?,What other piece of advice would you give an undocumented student hoping for admission at your school?,Other Admissions Information,Are undocumented students eligible for need-based aid?,"What financial aid application should undocumented students send? The CSS, FAFSA, ISFAA or a form unique to your school?","If need-based aid is not available, is there a feasible path undocumented students can take to pay for their education with stackable merit scholarships, loans and/or grants from your school?",What would be the requirements for such scholarships and what would a student's chances of getting them?,Other Financial Aid Information,Are there organized groups or clubs comprised of or advocating for undocumented students in your school?,How often does your office receive applications from undocumented students?,Does your school allow Immigration and Customs Enforcement (ICE) officers onto campus without a warrant?,Does the campus police enforce immigration law?,Does your school share student immigration status with ICE?,Does your school provide distance-learning options for deported students to complete their degrees?,Does your school provide confidential legal support to students with immigration law questions and issues?,Other Student Life Information,Has undocu-student webpage,Other Information,Special Contact,Gives aid?
ab,Alderson Broaddus University,,,,,,,,,"All admissions decisions regarding undocumented applicants are made on a case-by-case basis. Any interested student must first apply at www.ab.edu and check ""international"".",,,,,,,,,,,,,,,,,0
american,American University,,,,,,,,,,,,,,,,,,,,,,,,"Our policies are very clearly laid out on this URL:

https://www.american.edu/ocl/cdi/undocumented-students.cfm",,0
aubg,American University Bulgaria,AUBG doesn’t make a distinction between international and domestic students at all for the admission process (aside from calculating the GPA).,AUBG is need blind for all students regarding Admissions.,None. However we do have donor scholarships for students with certain citizenships (here)(https://www.aubg.edu/admissions/scholarships).,Not specifically for undocumented students.,,,Students applying from North America (regardless of status or citizenship) work with me (sharvey@aubg.edu).,Reach out to your Admission Counselor to schedule an in-depth call with the team (including our Visa Coordinator).,,Yes.,,Need-based aid would be available and is stackable with merit scholarships.,Scholarships are awarded on a competitive basis at AUBG. We cannot determine the requirements or chances of being awarded since we cannot predict our applicant pool for the next cycle. However it is strongly recommended for students to complete their application by March 1st so they can be considered for priority scholarships.,We have our own Application for Financial Aid form (here)(https://www.aubg.edu/apply/aid).,"No

How often does your office receive applications from undocumented students
To my knowledge, we haven’t receive any applications from undocumented students (this is a status that AUBG doesn’t need to recognize since we are in Bulgaria).",,ICE doesn’t operate in Bulgaria.,AUBG students apply for a Bulgarian Student Visa with the help of our Visa Coordinator.,"ICE doesn’t operate in Bulgaria, so no.","For Fall 2021, students who cannot travel to Bulgaria due to covid related issues or visa issues may complete the semester online.","To my knowledge, AUBG cannot provide legal support to students.",,,"I can answer some of your questions, but many do not apply to AUBG since we are located in Bulgaria",sharvey@aubg.edu,0
amherst,Amherst College,Domestic.,Yes.,Amherst College does not offer merit aid. all aid is need-based. We provide aid to meet 100% of a student's demonstrated financial need with grants and student employment. student loans are not part of our institutional financial aid packages.,"Amherst College does not offer merit aid at all, to anyone.",,"A student's undocumented status would not have a detrimental effect on our admission decision. Because Amherst practices holistic evaluation, we encourage applicants to share with us any information that they believe will provide useful context for our understanding of them as students and people.","There is no special contact for undocumented students in the Amherst Admission Office. Because Amherst College is committed to increased access to higher education as part of our institutional mission, all Admission deans are attuned to the needs of undocumented students.",,,Yes,,,,CSS Profile,Yes,"Regularly, every year.",,No,"No, not voluntarily.",We have no established policy on this issue.,Yes,,,"I encourage you to review our College website, including especially the following pages that are specifically related to undocumented and DACA students:
Admission: https://www.amherst.edu/admission/apply/firstyear/undoc
Financial Aid: https://www.amherst.edu/offices/financialaid/firstyear_transfer/canadian_intl
Resources: https://www.amherst.edu/offices/immigration-services/daca-and-undocumented
Statements: https://www.amherst.edu/offices/immigration-services/immigration/statements-from-president-martin",,1
artcenter,Art Center College Of Design,Undocumented students can apply as domestic students.,"We are need-blind for undocumented students. In addition to merit-based scholarships, you may be eligible for financial aid through the Dream-Act.",Merit-Aid is based on your portfolio and academic record.,no,,A student's status will have no bearing on an admissions decision.,no,We recommend scheduling an appointment to speak with a counselor for specific advice on your portfolio.,We will reach out to you if we have questions about your status.,"Yes, through the FAFSA if you are Dream Act eligible.",,"Although we do our best to provide aid for students, we are unable to match all students' need.",,All admitted students will be considered for financial aid if they choose to apply. The most important component of our consideration is your portfolio.,Our DEI office and Financial Aid Offices have staff focused on undocumented student needs.,,,We do not have campus police,We do not share student statuses with ICE,"ArtCenter is offering full-time online classes at this time, but during most times of the year, we only offer in-person classes.",,No,,,,1
bard,Bard College,,,,,,,,,"you can learn more about Bard's policies for undocumented applicants at our website here: (https://www.bard.edu/admission/daca-undocumented), and you can learn more about the Bard Sanctuary Fund here: (https://cce.bard.edu/community/sanctuary-fund).",,,,,,,,,,,,,,,,,0
simons-rock,Bard College Simons Rock Early College,,We are need-blind for all applicants.,There are no restrictions on merit aid.,"We do not have specific merit scholarships for undocumented students. All of our merit scholarships are open to all applicants. Applicants are considered for any merit aid they are eligible for. Most merit aid is based on the strength of the admission application but some merit aid also takes other factors into consideration, like leadership, location, etc.",,,,"If you do not have a Social Security Number (SSN), you do not need to enter anything in the Social Security Number field in the admission application (it is not required). This field refers to U.S. citizens only.
Equity and inclusion are central to Simon’s Rock’s mission and values, and we welcome all students, regardless of citizenship status or national origin to apply to the College. This includes students who are undocumented, and students who hold DACA (Deferred Action for Childhood Arrivals) status.","Yes, April Shandor. She can be reached at ashandor@simons-rock.edu and 413-528-7385.","Yes, they are eligible for need-based aid.",,,"Not applicable, as need-based aid is available.","Not applicable, as need-based aid is available.",,We are a very small college (400 students) so we receive fewer applications in general than a larger school. The small size means we receive fewer applications from all groups. We don't receive many applications from undocumented students. I would say at most a couple or a few per year.,Bard College at Simon’s Rock will not release information about students and employees regarding citizenship or immigration status unless required by law.,Bard College at Simon’s Rock will not release information about students and employees regarding citizenship or immigration status unless required by law.,Bard College at Simon’s Rock will not release information about students and employees regarding citizenship or immigration status unless required by law.,We currently have some students studying remotely due to COVID but expect all of our classes and students will be in person next year.,We provide free legal consultation to students who are concerned about whether they can visit their countries of origin or who are concerned about their status when traveling internationally.,,,"Equity and inclusion are central to Simon’s Rock’s mission and values, and we welcome all students, regardless of citizenship status or national origin to apply to the College. This includes students who are undocumented, and students who hold DACA (Deferred Action for Childhood Arrivals) status.",April Shandor ashandor@simons-rock.edu 413-528-7385,0
bates,Bates College,,,,,,,,,,,,,,,,,,,,,,,https://www.bates.edu/admission/undocumented-daca-applicants/,,,
bethelks,Bethel College,,,,,,,,,,,,,,,,,,,,,,,,,"The Director of diversity, equity and inclusion",0
biola,Biola University,,,,,,,,,Biola considers all undocumented students as domestic students and ask that they follow the admissions guidelines for First-time College Students: https://www.biola.edu/admissions/undergrad/first-time or Transfer Students: https://www.biola.edu/admissions/undergrad/transfer. Their application is reviewed under the same standard as any other domestic student.,,,,,"As for Financial Aid, please refer to #2 in Steps: https://www.biola.edu/financial-aid/process/apply for forms that undocumented students should fill out to receive aid.",,,,,,,,,,,,0
