College Name,email,domain,state,are undocumented students considered international or domestic?,are you need-blind for undocumented students?,are there any restrictions on merit aid for undocumented students at your school?,does your school provide merit aid specially for undocumented students?,would you advise an undocumented student to reveal their status in their application or subsequent email?,how would their status affect their application?,is there a special contact point for undocumented students?,what other piece of advice would you give an undocumented student hoping for admission at your school?,other admissions information,are undocumented students eligible for need-based aid?,"what financial aid application should undocumented students send? the css, fafsa, isfaa or a form unique to your school?","if need-based aid is not available, is there a feasible path undocumented students can take to pay for their education with stackable merit scholarships, loans and/or grants from your school?",what would be the requirements for such scholarships and what would a student's chances of getting them?,other financial aid information,are there organized groups or clubs comprised of or advocating for undocumented students in your school?,how often does your office receive applications from undocumented students?,does your school allow immigration and customs enforcement (ice) officers onto campus without a warrant?,does the campus police enforce immigration law?,does your school share student immigration status with ice?,does your school provide distance-learning options for deported students to complete their degrees?,does your school provide confidential legal support to students with immigration law questions and issues?,other student life information,has undocu-student webpage,other information,special contact,gives aid?
Abilene Christian University,['info@admissions.acu.edu'],acu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Of Art University,['admissions@academyart.edu'],academyart,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia University,['admissions@acadiau.ca'],acadiau,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams State University,['admissions@adams.edu'],adams,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelphi University,['admissions@adelphi.edu'],adelphi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian College,['admissions@adrian.edu'],adrian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Scott College,['admission@agnesscott.edu'],agnesscott,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Agricultural And Mechanical University,['admissions@aamu.edu'],aamu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama State University,['admissions@alasu.edu'],alasu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Bible College,['info@akbible.edu'],akbible,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Pacific University,['admissions@alaskapacific.edu'],alaskapacific,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany College Pharmacy And Health Sciences,['admissions@acphs.edu'],acphs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany State University,['admissions@asurams.edu'],asurams,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertus Magnus College,['admissions@albertus.edu'],albertus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion College,['admission@albion.edu'],albion,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albright College,['admission@alb.edu'],alb,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcorn State University,['ksampson@alcorn.edu'],alcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alderson Broaddus University,['admissions@ab.edu'],ab,WV,,,,,,,,,"All admissions decisions regarding undocumented applicants are made on a case-by-case basis. Any interested student must first apply at www.ab.edu and check ""international"".",,,,,,,,,,,,,,,,,0.0
Alfred University,['admissions@alfred.edu'],alfred,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Lloyd College,['admissions@alc.edu'],alc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny College,['admissions@allegheny.edu'],allegheny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen College,['admissions@allencollege.edu'],allencollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen University,['admissions@allenuniversity.edu'],allenuniversity,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alma College,['admissions@alma.edu'],alma,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvernia University,['admissions@alvernia.edu'],alvernia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alverno College,['admissions@alverno.edu'],alverno,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Baptist College,['atrice@abcnash.edu'],abcnash,,,,,,,,,,,,,,,,,,,,,,,,,,,
American International College,['admissions@aic.edu'],aic,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Jewish University,['admissions@aju.edu'],aju,,,,,,,,,,,,,,,,,,,,,,,,,,,
American University,['admissions@american.edu'],american,DC,,,,,,,,,,,,,,,,,,,,,,,,"Our policies are very clearly laid out on this URL:

https://www.american.edu/ocl/cdi/undocumented-students.cfm",,0.0
American University Beirut Aub,['admissions@aub.edu.lb'],aub,,,,,,,,,,,,,,,,,,,,,,,,,,,
American University Bulgaria,['admissions@aubg.edu'],aubg,US,AUBG doesn’t make a distinction between international and domestic students at all for the admission process (aside from calculating the GPA).,AUBG is need blind for all students regarding Admissions.,None. However we do have donor scholarships for students with certain citizenships (here)(https://www.aubg.edu/admissions/scholarships).,Not specifically for undocumented students.,,,Students applying from North America (regardless of status or citizenship) work with me (sharvey@aubg.edu).,Reach out to your Admission Counselor to schedule an in-depth call with the team (including our Visa Coordinator).,,Yes.,,Need-based aid would be available and is stackable with merit scholarships.,Scholarships are awarded on a competitive basis at AUBG. We cannot determine the requirements or chances of being awarded since we cannot predict our applicant pool for the next cycle. However it is strongly recommended for students to complete their application by March 1st so they can be considered for priority scholarships.,We have our own Application for Financial Aid form (here)(https://www.aubg.edu/apply/aid).,"No

How often does your office receive applications from undocumented students
To my knowledge, we haven’t receive any applications from undocumented students (this is a status that AUBG doesn’t need to recognize since we are in Bulgaria).",,ICE doesn’t operate in Bulgaria.,AUBG students apply for a Bulgarian Student Visa with the help of our Visa Coordinator.,"ICE doesn’t operate in Bulgaria, so no.","For Fall 2021, students who cannot travel to Bulgaria due to covid related issues or visa issues may complete the semester online.","To my knowledge, AUBG cannot provide legal support to students.",,,"I can answer some of your questions, but many do not apply to AUBG since we are located in Bulgaria",sharvey@aubg.edu,0.0
American University Paris,['admissions@aup.edu'],aup,,,,,,,,,,,,,,,,,,,,,,,,,,,
American University Rome,['admissions@aur.edu'],aur,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst College,['admission@amherst.edu'],amherst,MA,Domestic.,Yes.,Amherst College does not offer merit aid. all aid is need-based. We provide aid to meet 100% of a student's demonstrated financial need with grants and student employment. student loans are not part of our institutional financial aid packages.,"Amherst College does not offer merit aid at all, to anyone.",,"A student's undocumented status would not have a detrimental effect on our admission decision. Because Amherst practices holistic evaluation, we encourage applicants to share with us any information that they believe will provide useful context for our understanding of them as students and people.","There is no special contact for undocumented students in the Amherst Admission Office. Because Amherst College is committed to increased access to higher education as part of our institutional mission, all Admission deans are attuned to the needs of undocumented students.",,,Yes,,,,CSS Profile,Yes,"Regularly, every year.",,No,"No, not voluntarily.",We have no established policy on this issue.,Yes,,,"I encourage you to review our College website, including especially the following pages that are specifically related to undocumented and DACA students:
Admission: https://www.amherst.edu/admission/apply/firstyear/undoc
Financial Aid: https://www.amherst.edu/offices/financialaid/firstyear_transfer/canadian_intl
Resources: https://www.amherst.edu/offices/immigration-services/daca-and-undocumented
Statements: https://www.amherst.edu/offices/immigration-services/immigration/statements-from-president-martin",,1.0
Anderson University,['info@anderson.edu'],anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrews University,['enroll@andrews.edu'],andrews,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelo State University,['admissions@angelo.edu'],angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Maria College,['admission@annamaria.edu'],annamaria,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioch College,['admission@antiochcollege.edu'],antiochcollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian Bible College,['admissions@abc.edu'],abc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian State University,['admissions@appstate.edu'],appstate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,"['admissions@aquinas.edu', 'admissions@aquinascollege.edu']",aquinas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia University,['admiss@arcadia.edu'],arcadia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Christian University,['admissions@arizonachristian.edu'],arizonachristian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State University,['admissions@asu.edu'],asu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Baptist College,['admissions@arkansasbaptist.edu'],arkansasbaptist,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas State University,['admissions@astate.edu'],astate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Tech University,['tech.enroll@atu.edu'],atu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington Baptist University,['kmarvin@arlingtonbaptistcollege.edu'],arlingtonbaptistcollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Academy Cincinnati,['admissions@artacademy.edu'],artacademy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Center College Of Design,['admissions@artcenter.edu'],artcenter,CA,Undocumented students can apply as domestic students.,"We are need-blind for undocumented students. In addition to merit-based scholarships, you may be eligible for financial aid through the Dream-Act.",Merit-Aid is based on your portfolio and academic record.,no,,A student's status will have no bearing on an admissions decision.,no,We recommend scheduling an appointment to speak with a counselor for specific advice on your portfolio.,We will reach out to you if we have questions about your status.,"Yes, through the FAFSA if you are Dream Act eligible.",,"Although we do our best to provide aid for students, we are unable to match all students' need.",,All admitted students will be considered for financial aid if they choose to apply. The most important component of our consideration is your portfolio.,Our DEI office and Financial Aid Offices have staff focused on undocumented student needs.,,,We do not have campus police,We do not share student statuses with ICE,"ArtCenter is offering full-time online classes at this time, but during most times of the year, we only offer in-person classes.",,No,,,,1.0
Asbury University,['admissions@asbury.edu'],asbury,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland University,['enrollme@ashland.edu'],ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,['admiss@assumption.edu'],assumption,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athens State University,['admissions@athens.edu'],athens,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn University,['admissions@auburn.edu'],auburn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn University At Montgomery,['admissions@aum.edu'],aum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augsburg University,['admissions@augsburg.edu'],augsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta University,['admissions@augusta.edu'],augusta,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustana College Illinois,['admissions@augustana.edu'],augustana,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustana University South Dakota,['admission@augie.edu'],augie,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora University,['admission@aurora.edu'],aurora,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin College,['admission@austincollege.edu'],austincollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Graduate School Of Theology,['admissions@austingrad.edu'],austingrad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Peay State University,['admissions@apsu.edu'],apsu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave Maria University,['admissions@avemaria.edu'],avemaria,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averett University,['admit@averett.edu'],averett,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avila University,['admissions@avila.edu'],avila,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azusa Pacific University,['admissions@apu.edu'],apu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babson College,['ugradadmission@babson.edu'],babson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker University,['admission@bakeru.edu'],bakeru,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Wallace University,['admission@bw.edu'],bw,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball State University,['askus@bsu.edu'],bsu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptist College Of Florida,['admissions@baptistcollege.edu'],baptistcollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptist College Of Health Sciences,['admissions@bchs.edu'],bchs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barclay College,['admissions@barclaycollege.edu'],barclaycollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard College,['admission@bard.edu'],bard,NY,,,,,,,,,"you can learn more about Bard's policies for undocumented applicants at our website here: (https://www.bard.edu/admission/daca-undocumented), and you can learn more about the Bard Sanctuary Fund here: (https://cce.bard.edu/community/sanctuary-fund).",,,,,,,,,,,,,,,,,0.0
Bard College Berlin,['admissions@berlin.bard.edu'],berlin.bard,,,,,,,,,,,,,,,,,,,,,,,,,,,
